ticker,quarter,call_date,guidance_consensus,gemma3_4b,llama3_1_8b,agree
AMD,Q4-2023,2024-01-30,lowered,raised,lowered,0
AMD,Q1-2024,2024-04-30,raised,raised,raised,1
AMD,Q2-2024,2024-07-30,raised,raised,raised,1
AMD,Q3-2024,2024-10-29,raised,raised,none,0
AMD,Q4-2024,2025-02-04,raised,raised,raised,1
AMD,Q1-2025,2025-05-06,raised,raised,raised,1
AMD,Q2-2025,2025-08-05,lowered,lowered,none,0
AMD,Q3-2025,2025-11-04,none,none,none,1
AMD,Q4-2025,2026-02-03,raised,raised,none,0
AVGO,Q1-2024,2024-03-07,maintained,maintained,maintained,1
AVGO,Q2-2024,2024-06-12,raised,raised,raised,1
AVGO,Q3-2024,2024-09-05,raised,raised,maintained,0
AVGO,Q4-2024,2024-12-12,raised,raised,raised,1
AVGO,Q1-2025,2025-03-06,raised,raised,maintained,0
AVGO,Q2-2025,2025-06-05,maintained,maintained,maintained,1
AVGO,Q3-2025,2025-09-04,raised,raised,raised,1
AVGO,Q4-2025,2025-12-11,raised,raised,none,0
AVGO,Q1-2026,2026-03-04,raised,raised,raised,1
BLK,Q4-2023,2024-01-12,none,none,none,1
BLK,Q1-2024,2024-04-12,raised,raised,none,0
BLK,Q2-2024,2024-07-15,raised,raised,none,0
BLK,Q3-2024,2024-10-11,raised,raised,none,0
BLK,Q4-2024,2025-01-15,raised,raised,none,0
BLK,Q1-2025,2025-04-11,raised,raised,none,0
BLK,Q2-2025,2025-07-15,raised,raised,none,0
BLK,Q3-2025,2025-10-14,raised,raised,none,0
BLK,Q4-2025,2026-01-15,raised,raised,none,0
BLK,Q1-2026,2026-04-14,raised,raised,none,0
C,Q4-2023,2024-01-17,lowered,none,maintained,0
C,Q1-2024,2024-04-12,maintained,maintained,none,0
C,Q2-2024,2024-07-12,raised,raised,none,0
C,Q3-2024,2024-10-15,lowered,lowered,none,0
C,Q4-2024,2025-01-15,raised,raised,none,0
C,Q1-2025,2025-04-15,none,none,none,1
C,Q2-2025,2025-07-15,raised,raised,none,0
C,Q3-2025,2025-10-14,none,none,none,1
C,Q4-2025,2026-01-13,raised,raised,none,0
FAST,Q4-2023,2024-01-18,none,none,none,1
FAST,Q1-2024,2024-04-11,none,none,none,1
FAST,Q2-2024,2024-07-12,none,none,none,1
FAST,Q3-2024,2024-10-11,none,none,none,1
FAST,Q4-2024,2025-01-17,lowered,lowered,none,0
FAST,Q1-2025,2025-04-11,none,none,none,1
FAST,Q2-2025,2025-07-14,raised,raised,none,0
FAST,Q3-2025,2025-10-13,none,none,none,1
FAST,2026_01_20,2026-01-20,raised,none,none,1
FAST,Q1-2026,2026-04-13,maintained,maintained,none,0
FDX,Q3-2024,2024-03-21,maintained,maintained,none,0
FDX,Q4-2024,2024-06-25,lowered,lowered,raised,0
FDX,Q1-2025,2024-09-19,lowered,raised,lowered,0
FDX,Q2-2025,2024-12-19,lowered,raised,lowered,0
FDX,Q3-2025,2025-03-20,lowered,lowered,lowered,1
FDX,Q4-2025,2025-06-24,raised,raised,none,0
FDX,Q1-2026,2025-09-18,raised,raised,maintained,0
FDX,Q2-2026,2025-12-18,raised,raised,raised,1
FDX,Q3-2026,2026-03-19,raised,raised,raised,1
GS,Q4-2023,2024-01-16,raised,raised,none,0
GS,Q1-2024,2024-04-15,raised,raised,none,0
GS,Q2-2024,2024-07-15,raised,raised,none,0
GS,Q3-2024,2024-10-15,raised,raised,none,0
GS,Q4-2024,2025-01-15,raised,raised,maintained,0
GS,Q1-2025,2025-04-14,raised,raised,none,0
GS,Q2-2025,2025-07-16,none,none,none,1
GS,Q3-2025,2025-10-15,raised,raised,none,0
GS,Q4-2025,2026-01-15,raised,raised,none,0
GS,Q1-2026,2026-04-13,raised,raised,none,0
INTC,Q4-2023,2024-01-25,none,none,none,1
INTC,Q1-2024,2024-04-25,maintained,maintained,none,0
INTC,Q2-2024,2024-08-01,lowered,lowered,none,0
INTC,Q3-2024,2024-10-31,raised,raised,none,0
INTC,Q4-2024,2025-01-30,lowered,lowered,lowered,1
INTC,Q1-2025,2025-04-24,lowered,lowered,lowered,1
INTC,Q2-2025,2025-07-24,lowered,lowered,lowered,1
INTC,Q3-2025,2025-10-23,none,none,maintained,0
INTC,Q4-2025,2026-01-22,lowered,none,lowered,0
JNJ,Q4-2023,2024-01-23,lowered,lowered,none,0
JNJ,Q1-2024,2024-04-16,raised,raised,raised,1
